SUID	abundance	AverageShortestPathLength	BetweennessCentrality	class	ClosenessCentrality	ClusteringCoefficient	degree	Eccentricity	family	genus	isafeature	IsSingleNode	kingdom	Label	lineage	name	negdegree	NeighborhoodConnectivity	NumberOfDirectedEdges	NumberOfUndirectedEdges	order	oriID	PartnerOfMultiEdgedNodePairs	phylum	posdegree	Radiality	samplecount	selected	SelfLoops	shared.name	species	Stress	taxon	TopologicalCoefficient	unknowndegree
7431	0.140777722899362	199.094.437	9.71e-06	none	0.5022742	0.29487179	13	3	none	none	no	FALSE	Bacteria	OTU-BV5denovo5619	Bacteria--OTU_BV5denovo5619	OTU-BV5denovo5619	13	42.184.615.385	13	0	none	OTU-BV5denovo5619	0	none	0	0.75226391	47	FALSE	0	OTU-BV5denovo5619	none	7658	OTU_BV5denovo5619	0.54999499	0
3412	0.124238145650371	200.388.098	9.71e-06	none	0.49903163	0	11	3	none	none	no	FALSE	Unclassified	OTU-BV5denovo9627	Unclassified--OTU_BV5denovo9627	OTU-BV5denovo9627	11	46.181.818.182	11	0	none	OTU-BV5denovo9627	0	none	0	0.74902975	43	FALSE	0	OTU-BV5denovo9627	none	7658	OTU_BV5denovo9627	0.61606709	0
1909	0.117028835339564	200.388.098	9.71e-06	none	0.49903163	0	11	3	none	none	no	FALSE	Bacteria	OTU-BV5denovo8046	Bacteria--OTU_BV5denovo8046	OTU-BV5denovo8046	11	46.181.818.182	11	0	none	OTU-BV5denovo8046	0	none	0	0.74902975	48	FALSE	0	OTU-BV5denovo8046	none	7658	OTU_BV5denovo8046	0.61606709	0
932	0.151453049405242	200.388.098	9.71e-06	none	0.49903163	0	11	3	none	none	no	FALSE	Bacteria	OTU-BV5denovo34714	Bacteria--OTU_BV5denovo34714	OTU-BV5denovo34714	11	46.181.818.182	11	0	none	OTU-BV5denovo34714	0	none	0	0.74902975	56	FALSE	0	OTU-BV5denovo34714	none	7658	OTU_BV5denovo34714	0.61606709	0
191	0.12650465453404	19.301.423	9.56e-05	Thermoleophilia	0.51809651	0.06994048	64	3	Patulibacteraceae	none	no	FALSE	Bacteria	Patulibacteraceae	Bacteria--Actinobacteria--Thermoleophilia--Solirubrobacterales--Patulibacteraceae	Patulibacteraceae	64	145.171.875	64	0	Solirubrobacterales	Patulibacteraceae	0	Actinobacteria	0	0.76746442	27	FALSE	0	Patulibacteraceae	none	6734	Patulibacteraceae	0.19026458	0
660	0.0825242469793216	199.353.169	9.13e-06	none	0.50162232	0.2	15	3	none	none	no	FALSE	Bacteria	OTU-BV5denovo54466	Bacteria--OTU_BV5denovo54466	OTU-BV5denovo54466	15	34.766.666.667	15	0	none	OTU-BV5denovo54466	0	none	0	0.75161708	28	FALSE	0	OTU-BV5denovo54466	none	6008	OTU_BV5denovo54466	0.45616798	0
1773	0.106954227997172	196.895.213	8.9e-06	none	0.50788436	0.60229885	30	3	none	none	no	FALSE	Bacteria	OTU-BV5denovo493990	Bacteria--OTU_BV5denovo493990	OTU-BV5denovo493990	30	273.2	30	0	none	OTU-BV5denovo493990	0	none	0	0.75776197	35	FALSE	0	OTU-BV5denovo493990	none	1904	OTU_BV5denovo493990	0.35619296	0
608	0	195.860.285	8.77e-06	none	0.51056803	0.63650794	36	3	none	none	no	FALSE	Bacteria	OTU-BV5denovo142871	Bacteria--OTU_BV5denovo142871	OTU-BV5denovo142871	36	26.488.888.889	36	0	none	OTU-BV5denovo142871	0	none	0	0.76034929	0	FALSE	0	OTU-BV5denovo142871	none	3422	OTU_BV5denovo142871	0.34445889	0
804	0.068292669847621	199.870.634	8.2e-06	none	0.50032362	0.32967033	14	3	none	none	no	FALSE	Bacteria	OTU-BV5denovo198848	Bacteria--OTU_BV5denovo198848	OTU-BV5denovo198848	14	339	14	0	none	OTU-BV5denovo198848	0	none	0	0.75032342	28	FALSE	0	OTU-BV5denovo198848	none	3158	OTU_BV5denovo198848	0.44654621	0
1234	100.830.644.091.453	295.601.552	8.29e-06	Alphaproteobacteria	0.33829322	0.67272727	11	4	none	none	no	FALSE	Bacteria	Alphaproteobacteria	Bacteria--Proteobacteria--Alphaproteobacteria	Alphaproteobacteria	0	1.909.090.909	11	0	none	Alphaproteobacteria	0	Proteobacteria	11	0.51099612	204	FALSE	0	Alphaproteobacteria	none	52	Alphaproteobacteria	0.51597052	0
